Index,Phrase,Tier,Event Tag,Location
123,tent,Tier 0,General,
124,pitch,Tier 0,General,
125,brother,Tier 0,General,
126,dad,Tier 0,General,
127,mom,Tier 0,General,
128,fallen,Tier 0,General,
129,crazy,Tier 0,General,
130,anvil,Tier 0,General,
131,vampire,Tier 0,General,
132,mustang,Tier 0,General,
133,military,Tier 0,General,
134,Jett,Tier 0,General,
135,wake,Tier 0,General,
136,up,Tier 0,General,
137,cancel,Tier 0,General,
138,king,Tier 0,General,
139,fly fishing,Tier 0,General,
140,wave,Tier 0,General,
141,dead set,Tier 0,General,
142,wilderness,Tier 0,General,
143,fire,Tier 0,General,
144,car,Tier 0,General,
145,crushed,Tier 0,General,
146,damage,Tier 0,General,
147,power,Tier 0,General,
148,forest,Tier 0,General,
149,loonie,Tier 0,General,
150,buddy,Tier 0,General,
151,anchor,Tier 0,General,
152,merfolk,Tier 0,General,
